Cluster ID,confidence_score,Match,Key,Unique Custodians,canonical_Key,canonical_Unique Custodians,canonical_Match
19,0.994620349,BMO Harris Bank,76,BMO HARRIS BANK,b'82',b'BMO HARRIS BANK N.A.',b'BMO Harris Bank'
19,0.996341607,BMO Harris Bank,77,BMO HARRIS BANK N. A.,b'82',b'BMO HARRIS BANK N.A.',b'BMO Harris Bank'
19,0.99596425,BMO Harris Bank,78,BMO HARRIS BANK N.A,b'82',b'BMO HARRIS BANK N.A.',b'BMO Harris Bank'
19,0.996541309,BMO Harris Bank,79,BMO HARRIS BANK N.A.,b'82',b'BMO HARRIS BANK N.A.',b'BMO Harris Bank'
19,0.995276707,BMO Harris Bank,80,BMO HARRIS BANK NA,b'82',b'BMO HARRIS BANK N.A.',b'BMO Harris Bank'
19,0.995873315,BMO Harris Bank,81,BMO HARRIS BANK NA.,b'82',b'BMO HARRIS BANK N.A.',b'BMO Harris Bank'
19,0.995561357,BMO Harris Bank,82,"BMO HARRIS BANK, N.A",b'82',b'BMO HARRIS BANK N.A.',b'BMO Harris Bank'
19,0.996437873,BMO Harris Bank,83,"BMO HARRIS BANK, N.A.",b'82',b'BMO HARRIS BANK N.A.',b'BMO Harris Bank'
19,0.994720174,BMO Harris Bank,84,"BMO HARRIS BANK, NA",b'82',b'BMO HARRIS BANK N.A.',b'BMO Harris Bank'
19,0.994302686,BMO Harris Bank,85,"BMO HARRIS FINANCIAL ADVISORS, INC.",b'82',b'BMO HARRIS BANK N.A.',b'BMO Harris Bank'
19,0.992128032,BMO Harris Bank,86,"BMO HARRIS, N.A.",b'82',b'BMO HARRIS BANK N.A.',b'BMO Harris Bank'
19,0.989696,BMO Harris Bank,322,HARRIS BANK N.A.,b'82',b'BMO HARRIS BANK N.A.',b'BMO Harris Bank'
19,0.988204479,BMO Harris Bank,323,HARRIS N.A.,b'82',b'BMO HARRIS BANK N.A.',b'BMO Harris Bank'
19,0.990844671,BMO Harris Bank,324,HARRIS NA,b'82',b'BMO HARRIS BANK N.A.',b'BMO Harris Bank'
20,0.992577815,U.S. Bank National Association,688,U.S. BANK N.A.,b'694',"b'U.S. BANK, NATIONAL ASSOCIATION'",b'U.S. Bank National Association'
20,0.995728022,U.S. Bank National Association,689,U.S. BANK NATIONAL ASSOCIATION,b'694',"b'U.S. BANK, NATIONAL ASSOCIATION'",b'U.S. Bank National Association'
